customer_id,age,annual_income,debt_to_income,loan_amount,employment_years,previous_default,missed_payments_12m,credit_history_years,savings_amount,esg_score,sector,region,risk_label
CUST000001,45,37840.0,0.452,11518.0,13.2,0,0,17.0,10355.0,54.0,Public sector,Occitanie,0
CUST000002,31,36924.0,0.107,28971.0,13.0,0,2,0.5,3546.0,45.0,Retail,Ile-de-France,0
CUST000003,50,83744.0,0.702,48525.0,5.6,0,1,20.9,16693.0,46.0,Services,Auvergne-Rhone-Alpes,0
CUST000004,52,55143.0,0.32,19207.0,1.4,0,2,34.0,5008.0,56.0,Construction,Occitanie,1
CUST000005,21,43916.0,0.135,21964.0,3.0,0,1,0.5,2172.0,56.0,Services,Ile-de-France,0
CUST000006,28,59185.0,0.077,40023.0,10.0,0,0,6.9,6302.0,65.0,Services,Ile-de-France,0
CUST000007,43,19810.0,0.724,11065.0,5.1,0,1,4.4,533.0,58.0,Construction,Occitanie,0
CUST000008,39,47138.0,0.436,28552.0,11.6,0,1,17.1,6251.0,36.0,Construction,Ile-de-France,0
CUST000009,42,111070.0,0.19,43859.0,4.4,0,0,16.1,18782.0,41.0,Retail,Nouvelle-Aquitaine,0
CUST000010,33,50744.0,0.431,16021.0,8.3,0,1,5.4,10652.0,61.0,Technology,Ile-de-France,0
CUST000011,52,,0.205,15617.0,4.7,0,1,28.0,7738.0,48.0,Services,Occitanie,1
CUST000012,51,60426.0,0.533,47784.0,2.8,0,0,23.3,19239.0,47.0,Services,Grand Est,0
CUST000013,43,69920.0,0.225,59112.0,8.4,0,1,6.3,29939.0,88.0,Technology,Ile-de-France,0
CUST000014,54,20744.0,0.299,11616.0,6.0,0,0,34.1,4012.0,35.0,Retail,Hauts-de-France,0
CUST000015,47,23680.0,0.281,4592.0,4.7,0,0,23.3,5312.0,81.0,Manufacturing,Ile-de-France,0
CUST000016,33,52432.0,0.316,16475.0,2.5,0,1,6.3,4301.0,63.0,Services,Auvergne-Rhone-Alpes,0
CUST000017,46,35550.0,0.417,15995.0,7.8,1,2,15.7,14824.0,65.0,Construction,Auvergne-Rhone-Alpes,0
CUST000018,31,83284.0,0.214,70647.0,9.3,0,0,0.5,15977.0,65.0,Manufacturing,Ile-de-France,1
CUST000019,52,42049.0,0.235,24746.0,8.2,0,0,28.2,9230.0,68.0,Services,Ile-de-France,0
CUST000020,41,21300.0,0.35,18894.0,8.9,0,0,23.0,8484.0,74.0,Construction,Hauts-de-France,0
CUST000021,40,28181.0,0.517,20931.0,,1,2,16.1,2712.0,47.0,Healthcare,Hauts-de-France,1
CUST000022,35,16000.0,0.614,13482.0,6.4,0,1,2.4,2329.0,57.0,Services,Grand Est,0
CUST000023,55,43505.0,0.294,28594.0,6.2,0,1,31.2,7339.0,54.0,Public sector,Grand Est,0
CUST000024,40,44349.0,0.512,33585.0,4.9,0,1,14.7,6850.0,35.0,Services,Auvergne-Rhone-Alpes,1
CUST000025,37,40162.0,0.122,25544.0,5.3,0,0,16.8,5819.0,50.0,Services,Ile-de-France,0
CUST000026,38,75515.0,0.098,35010.0,9.0,0,0,16.3,36188.0,85.0,Services,Ile-de-France,0
CUST000027,48,79406.0,0.262,41208.0,14.3,0,0,6.6,11930.0,54.0,Retail,Nouvelle-Aquitaine,0
CUST000028,46,44685.0,0.038,45852.0,3.5,0,0,24.0,13929.0,92.0,Technology,Hauts-de-France,0
CUST000029,47,19582.0,0.68,9460.0,6.4,0,1,16.5,3663.0,82.0,Manufacturing,Ile-de-France,0
CUST000030,47,62206.0,0.518,47320.0,3.0,0,0,14.2,3375.0,93.0,Construction,Ile-de-France,0
CUST000031,66,60610.0,0.266,52172.0,4.9,0,1,40.0,1550.0,86.0,Services,Auvergne-Rhone-Alpes,0
CUST000032,38,54661.0,0.113,39704.0,5.5,0,0,15.3,22127.0,89.0,Retail,Grand Est,0
CUST000033,36,72488.0,0.436,52407.0,7.5,0,0,2.0,11577.0,64.0,Services,Auvergne-Rhone-Alpes,0
CUST000034,33,29429.0,0.168,7129.0,7.4,0,0,11.9,4717.0,59.0,Retail,Occitanie,0
CUST000035,49,111595.0,0.265,90589.0,6.7,0,0,28.2,20503.0,70.0,Public sector,Nouvelle-Aquitaine,0
CUST000036,54,32080.0,0.211,23538.0,8.6,0,2,29.3,2582.0,62.0,Healthcare,Auvergne-Rhone-Alpes,0
CUST000037,41,65751.0,0.061,65037.0,3.8,0,0,11.2,17149.0,64.0,Healthcare,Auvergne-Rhone-Alpes,0
CUST000038,33,23630.0,0.462,10227.0,7.6,0,0,2.6,6601.0,73.0,Healthcare,Hauts-de-France,0
CUST000039,33,11564.0,1.774,139011.0,10.3,0,2,13.6,3387.0,52.0,Services,Hauts-de-France,1
CUST000040,49,90747.0,0.275,48413.0,3.7,0,0,15.7,20201.0,37.0,Retail,Auvergne-Rhone-Alpes,0
CUST000041,50,43018.0,0.186,25153.0,1.8,0,0,30.9,12311.0,64.0,Services,Ile-de-France,0
CUST000042,48,68304.0,0.081,27224.0,11.9,0,0,22.1,15757.0,52.0,Healthcare,Ile-de-France,0
CUST000043,35,53023.0,0.595,22833.0,3.1,0,2,9.5,1630.0,51.0,Services,Ile-de-France,0
